time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 09:25:00,5087.36,5088.24,5082.63,5082.64,571,12,0
2026-01-27 09:26:00,5082.64,5084.47,5081.5,5083.58,613,12,0
2026-01-27 09:27:00,5083.55,5085.21,5083.12,5084.37,547,12,0
2026-01-27 09:28:00,5084.37,5088.04,5084.13,5087.18,500,12,0
2026-01-27 09:29:00,5087.21,5089.38,5086.43,5087.86,553,12,0
2026-01-27 09:30:00,5087.86,5091.41,5087.86,5090.45,529,14,0
2026-01-27 09:31:00,5090.43,5095.81,5090.17,5093.46,751,12,0
2026-01-27 09:32:00,5093.46,5097.34,5092.4,5092.99,740,12,0
2026-01-27 09:33:00,5093.02,5094.39,5092.15,5093.15,506,12,0
2026-01-27 09:34:00,5093.15,5097.05,5093.15,5096.23,474,12,0
2026-01-27 09:35:00,5096.23,5096.56,5092.02,5093.28,466,12,0
2026-01-27 09:36:00,5093.28,5095.01,5090.96,5094.48,688,12,0
2026-01-27 09:37:00,5094.48,5096.72,5094.03,5095.35,596,12,0
2026-01-27 09:38:00,5095.35,5099.35,5095.14,5099.15,626,12,0
2026-01-27 09:39:00,5099.15,5099.24,5096.11,5096.11,552,12,0
2026-01-27 09:40:00,5096.11,5097.74,5094.2,5097.74,643,12,0
2026-01-27 09:41:00,5097.74,5100.4,5097.74,5100.01,861,12,0
2026-01-27 09:42:00,5100.01,5100.82,5098.5,5098.72,666,15,0
2026-01-27 09:43:00,5098.72,5099.15,5093.97,5094.34,791,12,0
2026-01-27 09:44:00,5094.37,5095.74,5092.22,5092.96,711,12,0
2026-01-27 09:45:00,5092.96,5096.26,5092.03,5095.0,713,12,0
2026-01-27 09:46:00,5095.0,5095.33,5093.21,5094.71,581,14,0
2026-01-27 09:47:00,5094.71,5095.04,5090.8,5092.22,487,12,0
2026-01-27 09:48:00,5092.22,5092.62,5090.29,5091.3,376,12,0
2026-01-27 09:49:00,5091.3,5092.99,5091.07,5091.76,422,12,0
2026-01-27 09:50:00,5091.79,5092.1,5090.48,5090.68,438,12,0
2026-01-27 09:51:00,5090.71,5091.18,5089.22,5090.61,358,12,0
2026-01-27 09:52:00,5090.61,5092.12,5089.81,5090.87,444,12,0
2026-01-27 09:53:00,5090.86,5092.62,5090.79,5092.54,373,13,0
2026-01-27 09:54:00,5092.54,5092.85,5090.46,5090.8,355,12,0
2026-01-27 09:55:00,5090.78,5091.89,5089.42,5090.76,382,14,0
2026-01-27 09:56:00,5090.71,5091.09,5089.41,5089.98,439,12,0
2026-01-27 09:57:00,5089.98,5090.46,5088.99,5090.01,509,15,0
2026-01-27 09:58:00,5090.01,5090.06,5086.62,5087.05,593,12,0
2026-01-27 09:59:00,5087.07,5088.78,5085.91,5086.07,616,16,0
2026-01-27 10:00:00,5086.04,5087.59,5084.27,5087.59,799,12,0
2026-01-27 10:01:00,5087.58,5088.38,5085.74,5086.59,608,12,0
2026-01-27 10:02:00,5086.6,5087.29,5084.98,5085.19,537,14,0
2026-01-27 10:03:00,5085.22,5086.03,5082.65,5083.96,537,12,0
2026-01-27 10:04:00,5083.91,5086.66,5083.91,5086.07,410,12,0
2026-01-27 10:05:00,5086.1,5086.61,5084.51,5085.29,442,12,0
2026-01-27 10:06:00,5085.27,5085.27,5081.56,5081.92,469,12,0
2026-01-27 10:07:00,5081.91,5083.89,5081.88,5083.25,507,13,0
2026-01-27 10:08:00,5083.25,5083.46,5079.44,5079.72,595,12,0
2026-01-27 10:09:00,5079.57,5084.43,5079.44,5083.98,658,13,0
2026-01-27 10:10:00,5084.0,5084.58,5082.0,5082.69,559,12,0
2026-01-27 10:11:00,5082.68,5084.92,5080.73,5082.44,600,12,0
2026-01-27 10:12:00,5082.44,5084.8,5081.7,5084.63,388,12,0
2026-01-27 10:13:00,5084.63,5085.98,5084.11,5084.73,398,12,0
2026-01-27 10:14:00,5084.74,5086.57,5083.87,5086.57,451,12,0
2026-01-27 10:15:00,5086.57,5086.63,5084.89,5085.66,463,12,0
2026-01-27 10:16:00,5085.66,5085.9,5084.02,5085.2,472,16,0
2026-01-27 10:17:00,5085.2,5087.51,5083.55,5085.44,543,13,0
2026-01-27 10:18:00,5085.4,5087.62,5084.1,5087.05,549,12,0
2026-01-27 10:19:00,5087.06,5087.29,5085.16,5086.43,425,15,0
